Date,Open,High,Low,Close,Adj Close,Volume
2020-12-22,0.224764,0.226702,0.210843,0.217977,0.217977,147187157
2020-12-23,0.217987,0.220046,0.182262,0.192380,0.192380,140389569
2020-12-24,0.192461,0.219998,0.188211,0.218165,0.218165,170252328
2020-12-25,0.218142,0.225203,0.211657,0.214190,0.214190,151676730
2020-12-26,0.214207,0.215228,0.205332,0.213414,0.213414,169392148
2020-12-27,0.213432,0.220420,0.203226,0.208646,0.208646,158894220
2020-12-28,0.208657,0.219318,0.207139,0.210891,0.210891,148281891
2020-12-29,0.210881,0.213822,0.197305,0.205709,0.205709,128077645
2020-12-30,0.205721,0.206871,0.199376,0.201697,0.201697,128609684
2020-12-31,0.201714,0.202187,0.195566,0.199660,0.199660,136031118
2021-01-01,0.199661,0.210765,0.198232,0.205126,0.205126,134658072
2021-01-02,0.205121,0.209154,0.199674,0.204016,0.204016,146201509
2021-01-03,0.204051,0.219497,0.200495,0.216469,0.216469,186119340
2021-01-04,0.216634,0.236060,0.204700,0.217870,0.217870,204575656
2021-01-05,0.217934,0.232591,0.217122,0.231887,0.231887,204421749
2021-01-06,0.231891,0.255707,0.228078,0.250458,0.250458,255185517
2021-01-07,0.250471,0.282375,0.246421,0.256766,0.256766,307851290
2021-01-08,0.256817,0.272232,0.240348,0.251023,0.251023,247515012
2021-01-09,0.250990,0.287595,0.243839,0.275390,0.275390,293731866
2021-01-10,0.275643,0.294687,0.239986,0.257956,0.257956,295451975
2021-01-11,0.257932,0.257932,0.202288,0.229223,0.229223,274153540
2021-01-12,0.229174,0.248272,0.223887,0.230872,0.230872,213619699
2021-01-13,0.230933,0.249361,0.224527,0.249361,0.249361,195440391
2021-01-14,0.249315,0.251929,0.238668,0.245659,0.245659,211152127
2021-01-15,0.245723,0.258030,0.229210,0.248133,0.248133,234069168
2021-01-16,0.248080,0.284932,0.248080,0.267646,0.267646,422506621
2021-01-17,0.267494,0.278750,0.249900,0.272842,0.272842,269173919
2021-01-18,0.272860,0.293651,0.267220,0.282832,0.282832,262409938
2021-01-19,0.282788,0.290897,0.268170,0.270200,0.270200,218719521
2021-01-20,0.270078,0.286108,0.253915,0.279000,0.279000,291158275
2021-01-21,0.279055,0.279745,0.242921,0.244741,0.244741,240104353
2021-01-22,0.244671,0.344819,0.229504,0.314480,0.314480,768914636
2021-01-23,0.314476,0.359779,0.311622,0.329310,0.329310,601049073
2021-01-24,0.329345,0.333081,0.307200,0.319090,0.319090,335528716
2021-01-25,0.319062,0.337960,0.297619,0.301538,0.301538,312987328
2021-01-26,0.301447,0.308929,0.281691,0.298885,0.298885,289456040
2021-01-27,0.298944,0.315380,0.272703,0.305173,0.305173,293300081
2021-01-28,null,null,null,null,null,null
2021-01-29,0.303028,0.314012,0.290985,0.309129,0.309129,332607087
2021-01-30,0.309072,0.321437,0.296695,0.315247,0.315247,275608472
2021-01-31,0.315355,0.323127,0.296555,0.302250,0.302250,246573295
2021-02-01,0.302292,0.317861,0.291905,0.315089,0.315089,280209443
2021-02-02,0.315176,0.322474,0.306854,0.317080,0.317080,286800615
2021-02-03,0.317088,0.326662,0.312677,0.321854,0.321854,287487657
2021-02-04,0.321892,0.325145,0.304176,0.312716,0.312716,294920939
2021-02-05,0.312739,0.373678,0.312735,0.370650,0.370650,422718458
2021-02-06,0.370538,0.372148,0.341104,0.352572,0.352572,317811407
2021-02-07,0.352661,0.424350,0.346985,0.408393,0.408393,587227451
2021-02-08,0.408038,0.427825,0.388899,0.418461,0.418461,446631109
2021-02-09,0.418348,0.448570,0.404082,0.433740,0.433740,429328457
2021-02-10,0.433809,0.460831,0.396352,0.441919,0.441919,472818545
2021-02-11,0.441775,0.659862,0.434081,0.593186,0.593186,1094643326
2021-02-12,0.592523,0.698408,0.551812,0.628112,0.628112,981709806
2021-02-13,0.628167,0.691016,0.581652,0.617938,0.617938,706325172
2021-02-14,0.617861,0.625663,0.546260,0.561749,0.561749,503733378
2021-02-15,0.561473,0.594087,0.463160,0.538979,0.538979,547546835
2021-02-16,0.538660,0.588767,0.526147,0.555181,0.555181,519051589
2021-02-17,0.555204,0.594577,0.509717,0.575362,0.575362,516301638
2021-02-18,0.575362,0.647397,0.575362,0.633757,0.633757,375895619
2021-02-19,0.634028,0.655758,0.600072,0.612589,0.612589,382545992
2021-02-20,0.612651,0.632814,0.551490,0.579956,0.579956,381562352
2021-02-21,0.579507,0.608526,0.564390,0.605740,0.605740,347545727
2021-02-22,0.605799,0.640238,0.461911,0.539680,0.539680,534993025
2021-02-23,0.539985,0.544316,0.399069,0.472182,0.472182,517380342
2021-02-24,0.473030,0.547822,0.446145,0.514920,0.514920,469264528
2021-02-25,0.514862,0.538320,0.477850,0.481513,0.481513,329645300
2021-02-26,0.481939,0.551263,0.443975,0.526198,0.526198,570946286
2021-02-27,0.526475,0.563045,0.504813,0.515632,0.515632,386035499
2021-02-28,0.515523,0.533887,0.462478,0.519335,0.519335,329846465
2021-03-01,0.520408,0.591306,0.520408,0.582180,0.582180,368024368
2021-03-02,0.582074,0.627863,0.555865,0.602065,0.602065,356482436
2021-03-03,0.602134,0.834726,0.595866,0.767202,0.767202,1279494182
2021-03-04,0.765961,0.792503,0.667638,0.693740,0.693740,663971471
2021-03-05,0.693544,0.716686,0.636048,0.681804,0.681804,435254355
2021-03-06,0.681314,0.695417,0.637748,0.665745,0.665745,244509654
2021-03-07,0.665781,0.723848,0.662336,0.694285,0.694285,329505088
2021-03-08,0.694108,0.738904,0.666045,0.738904,0.738904,349949060
2021-03-09,0.739235,0.760019,0.705805,0.745607,0.745607,344423739
2021-03-10,0.745592,0.880457,0.699127,0.818833,0.818833,866409027
2021-03-11,0.819078,0.854987,0.781858,0.802429,0.802429,510799846
2021-03-12,0.802565,0.809161,0.734980,0.755851,0.755851,380990202
2021-03-13,0.755710,0.834294,0.724319,0.815245,0.815245,455915661
2021-03-14,0.815030,0.848912,0.770341,0.770341,0.770341,372386693
2021-03-15,0.770016,0.802643,0.721746,0.761019,0.761019,350261933
2021-03-16,0.760940,1.155322,0.730790,1.029075,1.029075,1580015853
2021-03-17,1.029496,1.349262,0.949245,1.230963,1.230963,2904423241
2021-03-18,1.232896,1.372766,1.194154,1.217396,1.217396,1429854175
2021-03-19,1.216024,1.232626,1.170682,1.189440,1.189440,657849066
2021-03-20,1.188456,1.229222,1.088747,1.088747,1.088747,556941730
2021-03-21,1.091020,1.133758,1.066371,1.115952,1.115952,484665189
